1001," John Smith",john.smith@gmail.com,02-11-2023,Apple Watch,1,399.99,United States,Delivered,No Comments
1003," Sarah Thompson",sarah.t@gmail.com,30-10-2023,Samsung Galaxy S22,2,799.00,United States,Shipped,Customer Requested Refund
1004," Tom O'brien",No Email,05-11-2023,Google Pixel,1,599.00,United Kingdom,Delivered,No Comments
1005," Mary Johnson",mary.j@gmail.com,06-11-2023,Samsung Galaxy S22,2,800.00,United Kingdom,Returned,Return Due To Defect
1006," Ankit Patel",ankit@@patel.com,07-11-2023,Null,1,0.00,India,Pending,No Stock
1008," Carlos Hernandez",carlos@hernandez.com,08-11-2023,Iphone 14,1,1099.00,Spain,Delivered,No Comments
1009,Not Available,jessica@abc.com,09-11-2023,Macbook Pro,1,1299.99,Canada,Returned,Missing Name
1010," Aisha Khan",aisha.khan@outlook,10-11-2023,Macbook Pro,1,1299.99,Canada,Returned,Check Eligibility
1012," Tom O'brien",tom.obrien@gmail.com,05-11-2023,Google Pixel,1,599.00,United Kingdom,Delivered,No Comment
1014," Ankit Patel",ankit@patel.com,07-11-2023,Samsung Galaxy S22,1,0.00,India,Pending,Missing Price
